OBJECTID,STOPNAME,SHAPE,STOPID,STOPABBR,BENCH,SHELTER,ROUTES,COUNTY,LON,LAT
2978,BASIN RD & WM PENN HS NORTH,"(39.670582000000024, -75.58371199999993)",1732,BEWI,1,1,15,,-75583712,39670582
2979,BROOKMONT FARMS @ E-Z WAYMART,"(39.62252700000005, -75.68743099999995)",3631,BFEZ,0,0,64,,-75687431,39622527
2980,BRIDGEVILLE STSC AT MILL/CANNON ST,"(38.743367000000035, -75.60516799999994)",459,BGSC,1,1,212,,-75605168,38743367
2981,BARLEY MILL PLAZ & SHELTER-ENTR CIR,"(39.758718000000044, -75.60014699999994)",86,BMPL,1,1,4,,-75600147,39758718
2982,BOWERS ST @ 14TH ST,"(39.74292900000006, -75.53051399999998)",3238,BN14,0,0,9,,-75530514,39742929
2983,BAYNARD BLVD & 18TH ST,"(39.754598000000044, -75.54665099999994)",151,BN18,0,0,12,,-75546651,39754598
2984,BAYNARD BLVD & 19TH ST,"(39.75550300000003, -75.54598299999998)",1577,BN19,0,0,12,,-75545983,39755503
2985,BAYNARD BLVD & 20TH ST,"(39.75620800000007, -75.54550599999999)",1578,BN20,0,0,12,,-75545506,39756208
2986,BAYNARD BLVD & 22ND ST,"(39.75786300000004, -75.54444399999994)",1580,BN22,0,0,12,,-75544444,39757863
2987,BAYNARD BLVD & 23RD ST,"(39.759123000000045, -75.54356199999995)",1581,BN23,0,0,12,,-75543562,39759123
2988,BAYNARD BLVD & 26TH ST,"(39.761790000000076, -75.54176199999995)",1583,BN26,0,0,12,,-75541762,39761790
2989,BAYNARD BLVD & 28TH ST,"(39.76348500000006, -75.54061499999995)",1584,BN28,0,0,12,,-75540615,39763485
2990,BUNCHE BLVD & ANDERSON DR,"(39.71041100000008, -75.55697499999997)",1918,BNAN,0,0,14,,-75556975,39710411
2991,BRANDYWINE BLVD & BELLEFONTE AVE,"(39.76767700000005, -75.49854099999999)",42,BNBE,0,0,31,,-75498541,39767677
2992,BUNCHE BLVD & CARVER DR,"(39.711497000000065, -75.55542199999996)",1919,BNCA,0,0,14,,-75555422,39711497
2993,BROOM ST & CEDAR ST,"(39.737540000000024, -75.57165499999996)",1376,BNCE,0,0,9,,-75571655,39737540
2994,BUNCHE BLVD & OP CHEYNEY DR,"(39.71235400000006, -75.55366599999996)",1920,BNCH,0,0,14,,-75553666,39712354
2995,BASIN RD & CUMBERLAND FARMS,"(39.69092500000005, -75.59724999999997)",1694,BNCU,0,0,15,,-75597250,39690925
2996,BOXWOOD RD & OP AUGUSTINE ST,"(39.72530900000004, -75.61068899999998)",1360,BNGE,0,0,9,,-75610689,39725309
2997,BRANDYWINE BLVD & HAINES AVE,"(39.76204300000006, -75.50416799999994)",37,BNHI,0,0,31,,-75504168,39762043
2998,BROOM ST & LANCASTER AVE,"(39.743711000000076, -75.56748999999996)",1379,BNLA,0,0,9,,-75567490,39743711
2999,BROOM ST @ LINDEN ST,"(39.74165000000005, -75.56885699999998)",128,BNLI,0,0,"7, 9",,-75568857,39741650
3000,BRANDYWINE BLVD & LORE AVE,"(39.76277500000003, -75.50350099999997)",38,BNLO,0,0,31,,-75503501,39762775
3001,BRANDYWINE BLVD & MAPLE AVE,"(39.765270000000044, -75.50105299999996)",40,BNMA,0,0,31,,-75501053,39765270
3002,BAYNARD BLVD & MILLER RD,"(39.76420200000007, -75.54010499999998)",1585,BNMI,0,0,12,,-75540105,39764202
3003,BASIN RD & MILLER FURNITURE,"(39.68408500000004, -75.59273799999994)",1693,BNML,0,0,15,,-75592738,39684085
3004,BASIN RD & NEWS JOURNAL,"(39.69473500000004, -75.59999899999997)",239,BNNE,0,0,"10, 15",,-75599999,39694735
3005,BROOM ST & OAK ST,"(39.73854800000004, -75.57098299999996)",1377,BNOA,0,0,"7, 9",,-75570983,39738548
3006,BOWERS ST & OPPORTUNITY CTR,"(39.751085000000046, -75.52236599999998)",77,BNOP,0,0,14,,-75522366,39751085
3007,BOXWOOD RD & READ AVE,"(39.72481800000003, -75.60707899999994)",1359,BNRE,0,0,9,,-75607079,39724818
3008,BRADYWINE BLVD & RIVER RD,"(39.75936600000006, -75.50756099999995)",2214,BNRI,0,0,4,,-75507561,39759366
3009,BROOM ST OP SYCAMORE ST,"(39.740147000000036, -75.56989199999998)",1378,BNSY,0,0,"7, 9",,-75569892,39740147
3010,BUNCHE BLVD & TALLEDEGA DR,"(39.713542000000075, -75.55142699999999)",1921,BNTA,0,0,14,,-75551427,39713542
3011,BAYNARD BLVD & VAN BUREN ST,"(39.760369000000026, -75.54269999999997)",1582,BNVA,0,0,12,,-75542700,39760369
3012,BAYNARD BLVD & WASHINGTON ST,"(39.75369900000004, -75.54727599999995)",842,BNWA,1,0,"2, 12, 18, 35",,-75547276,39753699
3013,DE18/404 AT US113 BOULEVARD FORD,"(38.698545000000024, -75.39847299999997)",3821,BOFO,0,0,"212, 303",,-75398473,38698545
3014,BOYDS CORNER P&R,"(39.50137900000004, -75.64392199999998)",3138,BOYD,1,1,45,,-75643922,39501379
3015,BRANDYWINE TWN CT & P-N-R/EASTBND,"(39.83111100000008, -75.53514499999994)",67,BPRE,0,1,"2, 35, 61",,-75535145,39831111
3016,BRANDYWINE TWN CT @ TARGET,"(39.829939000000024, -75.53836499999994)",3463,BRAT,0,0,"2, 35, 61",,-75538365,39829939
3017,BRANDYWNE TWN CT & OP COMMUNITY CTR,"(39.83040100000005, -75.53615299999996)",871,BRCC,0,0,"2, 35, 61",,-75536153,39830401
3018,BRANDYWINE TWN CT & COMMUNITY CTR,"(39.83043500000008, -75.53632899999997)",872,BRCM,0,0,"2, 35, 61",,-75536329,39830435
3019,SR 299 @ US RT 301,"(39.44945100000007, -75.72620399999994)",3732,BRIC,0,0,43,,-75726204,39449451
3020,BROOM ST & LINDEN ST,"(39.74190500000003, -75.56887099999994)",124,BRLI,0,0,9,,-75568871,39741905
3021,BROOKMONT DR OP E Z WAYMART,"(39.622592000000054, -75.68725299999994)",3145,BROO,0,0,64,,-75687253,39622592
3022,BRANDYWNE TWN CT OP TARGET,"(39.82980300000003, -75.53859399999999)",3462,BROT,0,0,"2, 35, 61",,-75538594,39829803
3023,BAYNARD BLVD & 18TH ST,"(39.75514300000003, -75.54643799999997)",153,BS18,1,1,12,,-75546438,39755143
3024,BAYNARD BLVD & 20TH ST,"(39.75655900000004, -75.54552799999993)",1605,BS20,0,0,12,,-75545528,39756559
3025,BAYNARD BLVD & 21ST ST,"(39.75784900000008, -75.54462699999993)",1604,BS21,0,0,12,,-75544627,39757849
3026,BAYNARD BLVD & 22ND ST,"(39.75873300000006, -75.54399299999994)",1603,BS22,0,0,12,,-75543993,39758733
3027,BAYNARD BLVD & 23RD ST,"(39.75998100000004, -75.54320899999993)",1602,BS23,0,0,12,,-75543209,39759981
3028,BUNCHE BLVD & OP ANDERSON DR,"(39.71055400000006, -75.55703399999999)",1865,BSAN,0,0,14,,-75557034,39710554
3029,BRANDYWINE BLVD & OP BELLEFONTE AV,"(39.76784500000008, -75.49855399999996)",779,BSBE,0,0,31,,-75498554,39767845
3030,BUNCHE BLVD & CARVER DR,"(39.711663000000044, -75.55521599999997)",1864,BSCA,0,0,14,,-75555216,39711663
3031,BROOM ST & CEDAR ST,"(39.73779900000005, -75.57170599999995)",1353,BSCE,1,1,"7, 9",,-75571706,39737799
3032,BUNCHE BLVD & CHEYNEY DR,"(39.71252300000003, -75.55354699999998)",1863,BSCH,0,0,14,,-75553547,39712523
3033,BASIN RD & OP CUMBERLAND FM,"(39.690806000000066, -75.59759499999996)",1727,BSCU,0,0,15,,-75597595,39690806
3034,BRANDYWINE BLVD & OP HIGHLAND AVE,"(39.76840800000008, -75.49745199999995)",778,BSHI,0,0,31,,-75497452,39768408
3035,BASIN RD & OP JAY DR,"(39.68637200000006, -75.59479599999997)",1728,BSJA,0,0,15,,-75594796,39686372
3036,BRANDYWINE BLVD & LORE AVE,"(39.76313700000003, -75.50332299999997)",784,BSLO,0,0,31,,-75503323,39763137
3037,BRANDYWINE BLVD & MARION AVE,"(39.76652000000007, -75.50000599999998)",781,BSMA,1,0,31,,-75500006,39766520
3038,BOXWOOD RD & NEWPORT GAP PK,"(39.72524800000008, -75.61800999999997)",1368,BSNE,1,1,9,,-75618010,39725248
3039,BRANDYWINE BLVD & STIDHAM AVE,"(39.76415000000003, -75.50236399999994)",783,BSST,0,0,31,,-75502364,39764150
3040,BROOM ST & SYCAMORE ST,"(39.740413000000046, -75.56987999999996)",1351,BSSY,0,0,"7, 9",,-75569880,39740413
3041,BAYNARD BLVD & WASHINGTON ST,"(39.75336800000008, -75.54767999999996)",898,BSWA,0,0,"2, 12, 18, 35",,-75547680,39753368
3042,BRANDYWNE TWN CT OP REGAL CINEMA,"(39.83432700000003, -75.53428599999995)",66,BTORG,0,0,"35, 61",,-75534286,39834327
3043,BRANDYWINE TWN CT @ REGAL CINEMA,"(39.83424300000007, -75.53436999999997)",68,BTRG,0,0,"35, 61",,-75534370,39834243
3044,BROOM ST & 19TH ST,"(39.760312000000056, -75.54944999999998)",264,BW19,0,0,"2, 18, 28, 35",,-75549450,39760312
3045,BROOM ST & OP 20TH ST,"(39.76104400000003, -75.54778399999998)",893,BW20,0,0,"2, 18, 28, 35",,-75547784,39761044
3046,BROOM ST & OP 23RD ST,"(39.76200400000005, -75.54566499999999)",892,BW23,0,0,"2, 18, 28, 35",,-75545665,39762004
3047,BROOM ST & 25TH ST,"(39.76299700000004, -75.54351799999995)",891,BW25,0,0,"2, 18, 28, 35",,-75543518,39762997
3048,BELLEVUE PKWY  OP BLDG 400 E EN,"(39.780999000000065, -75.49411499999997)",45,BW4H,0,0,31,,-75494115,39780999
3049,BASIN RD & BLOUNT RD,"(39.67580700000008, -75.58707699999997)",1691,BWBL,0,0,15,,-75587077,39675807
3050,BASIN RD & CRIPPEN DR,"(39.67723200000006, -75.58808099999999)",166,BWCR,1,1,15,,-75588081,39677232
3051,BASIN RD & FORDHAM AVE,"(39.67069200000003, -75.58347599999996)",1688,BWFO,0,0,15,,-75583476,39670692
3052,BASIN RD & FRENCHTOWN RD,"(39.66532300000006, -75.57968699999998)",165,BWFR,0,0,15,,-75579687,39665323
3053,BELLEVUE PKWY & PROVIDNT GRP-101,"(39.77844100000004, -75.48943399999996)",685,BWPR,0,0,31,,-75489434,39778441
3054,BASIN RD & E ROOSEVELT AVE,"(39.674690000000055, -75.58630599999998)",1690,BWRO,0,0,15,,-75586306,39674690
3055,BASIN RD & STOCKTON DR,"(39.66854100000006, -75.58195599999993)",1687,BWST,0,0,15,,-75581956,39668541
3056,BASIN RD & UNIVERSITY AVE,"(39.67285400000003, -75.58497799999998)",1689,BWUN,1,1,15,,-75584978,39672854
3057,BOXWOOD RD & NEWPORT PK,"(39.72556000000003, -75.61807499999998)",126,BXNP,0,0,9,,-75618075,39725560
3058,CONCORD PK @ RAYMOUR & FLAN,"(39.83027400000003, -75.54374999999999)",2631,C0BE,0,0,61,,-75543750,39830274
3059,COMMONS BLVD & OP EASTER SEALS,"(39.68552100000005, -75.61518899999999)",1699,C0EA,0,0,"10, 15",,-75615189,39685521
3060,CARR RD & HILLSIDE AVE,"(39.785600000000045, -75.48703099999994)",687,C0HI,0,0,31,,-75487031,39785600
3061,CONSTITUTION BLV & MOORES LN,"(39.679610000000025, -75.56633299999999)",1671,C0ME,0,0,15,,-75566333,39679610
3062,CHESTNUT HILL RD & MALVERN AVE,"(39.666374000000076, -75.71744299999995)",2358,C0ML,0,0,33,,-75717443,39666374
3063,CHESTNUT HILL RD & MARTINDALE RD,"(39.66351100000003, -75.72466399999996)",280,C0MR,0,0,33,,-75724664,39663511
3064,CONCORD PK & PROSPECT AVE,"(39.804346000000066, -75.54839199999998)",862,C0PR,0,0,"2, 35",,-75548392,39804346
3065,CHESTNUT HILL RD & OP ROBSCOTT ENT,"(39.65922900000004, -75.74415199999999)",2366,C0RO,0,0,33,,-75744152,39659229
3066,CHESTNUT HILL RD & TODD EST ENT,"(39.670758000000035, -75.71043299999997)",2356,C0TO,0,0,33,,-75710433,39670758
3067,CENTERVILLE RD & FAULKLAND RD,"(39.74573900000007, -75.62382399999996)",2536,C1FA,1,1,"4, 18",,-75623824,39745739
3068,CONCORD PK & GARDEN OF EDEN R,"(39.81088300000005, -75.55022999999994)",878,C1GA,0,0,2,,-75550230,39810883
3069,CHESTNUT HILL RD & GENDER RD,"(39.66526300000004, -75.71925999999996)",2385,C1GE,0,0,33,,-75719260,39665263
3070,CHESTNUT HILL RD & OP MALVERN DR,"(39.666468000000066, -75.71643599999999)",2386,C1MA,0,0,33,,-75716436,39666468
3071,CONSTITUTION BLVD & MONITCELLO BLVD,"(39.678555000000074, -75.56843899999996)",1755,C1MN,0,0,15,,-75568439,39678555
3072,CARR RD & OP ELECT PAY SER,"(39.784350000000074, -75.49346399999996)",823,C1MO,0,0,31,,-75493464,39784350
3073,CHRISTIANA RD & ROLLER RINK,"(39.67622800000004, -75.68361399999998)",2394,C1RL,0,0,34,,-75683614,39676228
3074,CONCORD PK & ROCKY RUN BLVD,"(39.818084000000056, -75.54868799999997)",876,C1RO,0,0,2,,-75548688,39818084
3075,COMMONS BLVD & OP READS E ENT,"(39.68740600000007, -75.60770399999996)",1726,C1RW,1,1,"10, 15",,-75607704,39687406
3076,CHESTNUT HILL RD & TODD LN,"(39.67331800000005, -75.70602999999994)",2390,C1TO,0,0,33,,-75706030,39673318
3077,CAESAR RODNEY AV & CAMDEN-WYMING AV,"(39.11552900000004, -75.55353799999995)",2748,CACA,0,0,104,,-75553538,39115529
3078,CAESAR RODNEY AV & CAMDEN-WYMING AV,"(39.116386000000034, -75.55323999999996)",2747,CACW,0,0,104,,-75553240,39116386
3079,CAMDEN-WYMING AV & MAIN ST,"(39.113477000000046, -75.54111999999998)",2743,CAMA,0,0,104,,-75541120,39113477
3080,CAESAR RODNEY AV & PEACH ST,"(39.11259200000006, -75.55445199999997)",2750,CAPE,0,0,104,,-75554452,39112592
3081,CAESAR RODNEY AV & STEVENS ST,"(39.11383600000005, -75.55376099999995)",2749,CAST,0,0,104,,-75553761,39113836
3082,CAMDEN WALMART ON-SITE,"(39.10154200000005, -75.54584699999998)",3402,CAWM,1,1,"104, 117",,-75545847,39101542
3083,CONCORD PK & CIGNA,"(39.83093100000008, -75.54391599999997)",3061,CCIG,0,0,61,,-75543916,39830931
3084,CHURCHMANS RD & CAVALIER APT,"(39.68715800000007, -75.64264899999995)",3149,CCVE,0,0,15,,-75642649,39687158
3085,CHURCHMANS RD OP CAVALIER APT,"(39.68734400000005, -75.64213399999994)",3193,CCVW,0,0,15,,-75642134,39687344
3086,CHILDRENS DR & ROCKLAND RD,"(39.783247000000074, -75.55457699999994)",3386,CDER,0,0,28,,-75554577,39783247
3087,CHILDRENS DR & ROCKLAND RD,"(39.78286000000003, -75.55449599999997)",3385,CDWR,0,0,28,,-75554496,39782860
3088,CHESTNUT HILL RD & DEL RT 72 PNR,"(39.661576000000025, -75.73526899999996)",2380,CE72,0,0,"33, 55",,-75735269,39661576
3089,CHESTNUT HILL RD & ARGYLE RD,"(39.66065400000008, -75.73909099999997)",2378,CEAR,0,0,33,,-75739091,39660654
3090,CHESTNUT HILL RD & OP AUGUSTA DR,"(39.67491200000006, -75.70288799999997)",2391,CEAU,1,1,33,,-75702888,39674912
3091,CHRISTIANA RD & BROWNLEAF RD,"(39.67711600000007, -75.68655499999994)",2393,CEBR,0,0,34,,-75686555,39677116
3092,CEDAR ST & CLAYTON ST,"(39.73858000000007, -75.57378699999998)",2264,CECL,0,0,7,,-75573787,39738580
3093,COURT ST @ COWGILL ST,"(39.15755900000005, -75.51417299999997)",3250,CECO,0,0,301,,-75514173,39157559
3094,CHURCHMANS RD @ GOODING DR,"(39.68697400000008, -75.63801999999998)",3577,CEGD,0,0,15,,-75638020,39686974
3095,CHRISTIANA RD & GERALD ST,"(39.675362000000064, -75.68106599999999)",276,CEGE,0,0,34,,-75681066,39675362
3096,CENTER DR OP METRO FOOD MARKET,"(39.170048000000065, -75.51566299999996)",3207,CEHA,1,1,"106, 109",,-75515663,39170048
3097,CONSTITUTION BLV & INDEPENDENCE BLV,"(39.67718600000006, -75.57197399999995)",1669,CEIN,0,0,15,,-75571974,39677186
3098,CHESTNUT HILL RD & KINGSTON RD,"(39.661962000000074, -75.72950199999997)",2381,CEKI,0,0,"33, 55",,-75729502,39661962
3099,CHAPMAN RD & LAWRENCE RD,"(39.66789000000006, -75.67374599999994)",2194,CELA,1,0,"10, 34",,-75673746,39667890
3100,CENTER AT DOVER & RED LOBSTER,"(39.171080000000075, -75.51777399999997)",2828,CELO,0,0,"106, 109",,-75517774,39171080
3101,CENTER DR & METRO FOOD MKT,"(39.17018900000005, -75.51551699999999)",2827,CEME,1,1,"106, 109",,-75515517,39170189
3102,CONSTITUTION BLV & OP MONTICELLO BL,"(39.67806500000006, -75.56871399999994)",1670,CEMO,0,0,15,,-75568714,39678065
3103,CHURCHMANS RD OP NCC COM PARK,"(39.685749000000044, -75.63460399999997)",3222,CENC,0,0,15,,-75634604,39685749
3104,CENTRAL AVE AT DISCOUNT LAND RD RAM DELI MARKET,"(38.56610100000006, -75.57188499999995)",2989,CENO,0,0,212,,-75571885,38566101
3105,CENTER DR & OLIVE GARDEN,"(39.17114900000007, -75.51729899999998)",2833,CEOG,0,0,"106, 109",,-75517299,39171149
3106,CHESTNUT HILL RD & OP OLD NEWARK RD,"(39.66948700000006, -75.71168899999998)",2387,CEOL,0,0,33,,-75711689,39669487
3107,CHERRY DR EAST @ ORANGE ST,"(39.06662700000004, -75.52681999999999)",3746,CEOS,0,0,117,,-75526820,39066627
3108,CHESTNUT HILL RD & PEARSON DR,"(39.670633000000066, -75.70996799999995)",2388,CEPE,0,0,33,,-75709968,39670633
3109,CHESTNUT HILL RD & CH PLAZ SHOP CTR,"(39.663171000000034, -75.72465099999994)",2383,CEPL,1,1,33,,-75724651,39663171
3110,CENTERVILLE RD & E. RED CLAY DR,"(39.759051000000056, -75.62528999999995)",3830,CERC,0,0,4,,-75625290,39759051
3111,CHAPMAN RD & OP REGAL BLVD,"(39.66624400000006, -75.68990399999996)",2455,CERE,0,0,34,,-75689904,39666244
3112,CHAPMAN RD & OP RESIDENCE INN,"(39.66687200000007, -75.67978599999998)",2456,CERI,0,0,34,,-75679786,39666872
3113,CHESTNUT HILL RD & ROBSCOTT MNR ENT,"(39.65907200000004, -75.74342799999994)",2377,CERO,0,0,33,,-75743428,39659072
3114,CHESTNUT HILL RD & SALEM CHURCH RD,"(39.676063000000056, -75.70065299999999)",284,CESA,0,0,33,,-75700653,39676063
3115,CHAPMAN RD & WAKEFIELD DR,"(39.66742500000004, -75.67619899999994)",2193,CEWA,0,0,"10, 34",,-75676199,39667425
3116,CHURCH ST OP 5TH ST,"(39.73753900000003, -75.54215399999998)",3378,CH5N,0,0,8,,-75542154,39737539
3117,CHURCH ST & BURTON VILLAGE,"(38.71216500000003, -75.09781799999996)",648,CHBU,0,1,"206, 215",,-75097818,38712165
3118,CHURCHMANS RD & CHURCHMANS PLAZA,"(39.68933000000004, -75.65877699999999)",2336,CHCH,0,0,"33, 54",,-75658777,39689330
3119,CHURCH ST OP CURLETT ST,"(39.73880900000006, -75.54129899999998)",3379,CHCN,0,0,8,,-75541299,39738809
3120,CHURCHMANS RD & CONTINENTAL DR,"(39.68905500000005, -75.65912799999995)",2400,CHCO,0,0,"33, 54",,-75659128,39689055
3121,CHESTNUT RUN & PLAZA RD,"(39.753404000000046, -75.60469799999998)",3806,CHCR,0,0,20,,-75604698,39753404
3122,CHERRYLANE @ DEPT OF CORRECTIONS,"(39.689625000000035, -75.54508899999996)",3692,CHDO,0,0,14,,-75545089,39689625
3123,CHURCHMANS RD @ DELTECH ENT,"(39.688000000000045, -75.64999399999994)",3194,CHDT,0,0,15,,-75649994,39688000
3124,CHERRY LANE @ RIVERVIEW DR,"(39.69151500000004, -75.54955499999994)",3696,CHLN,0,0,14,,-75549555,39691515
3125,CHRISTIANA MALL & TARGET,"(39.67963400000008, -75.65030699999994)",1711,CHMA,1,1,"5, 15, 33, 40",,-75650307,39679634
3126,CHRISTIANA MALL & P-N-R,"(39.679906000000074, -75.65580899999998)",96,CHMN,1,1,"5, 15, 33, 34, 40, 44, 45, 54, 55, 301, 305",,-75655809,39679906
3127,CHURCHMANS RD @ NCC COM PK,"(39.68665400000003, -75.63666399999994)",3192,CHNC,0,0,15,,-75636664,39686654
3128,CHURCHMANS RD & OFFICE MAX,"(39.68762700000008, -75.65000299999997)",3195,CHOD,0,0,15,,-75650003,39687627
3129,DE 896 & DE 4 & P-N-R INSIDE,"(39.65786600000007, -75.75018699999998)",180,CHPA,1,1,"16, 33, 46, 302",,-75750187,39657866
3130,CHESTNUT RUN & LABORATORY RD,"(39.75598700000006, -75.60121999999996)",3802,CHRU,0,0,20,,-75601220,39755987
3131,CHAPMAN RD & SALEM CHURCH RD,"(39.66668500000003, -75.69482199999999)",285,CHSA,1,1,34,,-75694822,39666685
3132,CHESTNUT HILL RD & OP SALEM CHRH RD,"(39.67671100000007, -75.70029999999997)",279,CHSC,0,0,33,,-75700300,39676711
3133,CHRISTIANA HOSPITAL @ MATERNITY ENT,"(39.68917000000005, -75.66987499999993)",275,CHSP,1,1,"33, 54",,-75669875,39689170
3134,CHUBB HOTEL-CONF CTR,"(39.831008000000054, -75.54701699999998)",2630,CIGN,0,0,35,,-75547017,39831008
3135,CLARKS CORNER HARRINGTON,"(38.93009600000005, -75.58717899999994)",3265,CLCO,1,1,117,,-75587179,38930096
3136,CLAYTON @ DELAWARE AVE,"(39.75690800000007, -75.56148999999994)",3913,CLDA,0,0,7,,-75561490,39756908
3137,CLAPHAM RD & JURY DR,"(39.05278100000004, -75.46212299999996)",3079,CLJU,0,0,303,,-75462123,39052781
3138,CLAPHAM RD & OP JURY DR,"(39.05254800000006, -75.46173399999998)",3087,CLJY,0,0,303,,-75461734,39052548
3139,CLAPMAN RD & MULBERRIE PT RD,"(39.050519000000065, -75.45997599999998)",3086,CLMB,0,0,303,,-75459976,39050519
3140,CLAPHAM RD & OP MULBERRIE PT,"(39.05066800000003, -75.46033099999994)",3080,CLMU,0,0,303,,-75460331,39050668
3141,CLAYTON ST & PENNSYLVANIA AVE,"(39.754106000000036, -75.56340299999994)",3400,CLPA,0,0,7,,-75563403,39754106
3142,CONCORD MALL & BOSCOVS,"(39.82466000000005, -75.54400799999996)",867,CMBO,1,0,"2, 61",,-75544008,39824660
3143,CONCORD MALL & SEARS,"(39.82125000000008, -75.54542699999996)",64,CMSE,1,1,"2, 61",,-75545427,39821250
3144,CLAYTON ST @ 3RD ST,"(39.74690400000003, -75.56826199999995)",3426,CN3S,0,0,7,,-75568262,39746904
3145,CLAYTON ST @ 8TH ST-ST FRANCIS HOSP,"(39.74982700000004, -75.56629799999996)",3427,CN8S,0,0,7,,-75566298,39749827
3146,CLAYTON ST @ 9TH ST,"(39.75141200000007, -75.56521099999998)",3428,CN9S,1,1,7,,-75565211,39751412
3147,CENTRAL AVE @ BOYS & GIRLS CLUB,"(38.56096900000006, -75.57172599999996)",3352,CNBG,0,0,212,,-75571726,38560969
3148,CONCORD PK & BRANDYWINE BLVD,"(39.80803600000007, -75.54891999999995)",63,CNBR,0,0,"2, 35",,-75548920,39808036
3149,CONCORD PK & CLEVELAND AV,"(39.80002200000007, -75.54769999999996)",860,CNCL,0,0,"2, 35",,-75547700,39800022
3150,CLAYTON ST @ CHESTNUT ST,"(39.74380200000007, -75.57040399999994)",3425,CNCS,0,0,7,,-75570404,39743802
3151,CONCORD PK & FAIRFAX SHOP CTR,"(39.78781800000007, -75.54602699999998)",854,CNFA,0,0,"2, 35",,-75546027,39787818
3152,CONCORD PK & FLORENCE AVE,"(39.80238900000006, -75.54802499999994)",861,CNFL,0,0,"2, 35",,-75548025,39802389
3153,CONCORD PK & INDEPENDENCE MALL,"(39.78151500000007, -75.54525599999994)",257,CNIN,0,0,"2, 35",,-75545256,39781515
3154,CARR RD & 1100 CARR ROAD,"(39.78440900000004, -75.49256399999996)",686,CNMO,0,0,31,,-75492564,39784409
3155,CLAYTON ST @ MAPLE ST,"(39.741652000000045, -75.57189499999998)",3424,CNMS,0,0,7,,-75571895,39741652
3156,CONCORD PK & MURPHY RD,"(39.78603300000003, -75.54586599999999)",853,CNMU,0,0,"2, 35",,-75545866,39786033
3157,CONCORD PK & NICHOLS AVE,"(39.798167000000035, -75.54746399999993)",859,CNNI,0,0,"2, 35",,-75547464,39798167
3158,CONCORD PK & PROSPECT DR,"(39.795866000000046, -75.54714299999995)",858,CNPR,0,0,"2, 35",,-75547143,39795866
3159,CHRISTINA AVE @ PUBLIC WORKS YARD,"(39.71966200000003, -75.53356499999995)",3524,CNPW,0,0,8,,-75533565,39719662
3160,CENTERVILLE RD & RHODE ISLAND AVE,"(39.74225300000006, -75.62346599999995)",2534,CNRH,0,0,"4, 18",,-75623466,39742253
3161,CONCORD PK & OP ROLLINS BLDG,"(39.79134000000005, -75.54652999999996)",856,CNRO,0,0,"2, 35",,-75546530,39791340
3162,COMMONS BLVD & READS WAY,"(39.687497000000064, -75.60800899999998)",3968,CNRY,0,0,"10, 15",,-75608009,39687497
3163,CONCORD PK & OP SHARPLEY RD,"(39.793724000000054, -75.54683799999998)",857,CNSH,0,0,"2, 35",,-75546838,39793724
3164,CONCORD PK & SILVERSIDE RD,"(39.810354000000075, -75.54929299999998)",864,CNSI,0,0,2,,-75549293,39810354
3165,CONCORD PK & CONCORD SQ,"(39.81261600000005, -75.54959299999996)",865,CNSQ,0,0,2,,-75549593,39812616
3166,CENTERVILLE RD & TRENTON PL,"(39.738492000000065, -75.62282099999999)",2532,CNTR,0,0,"4, 18",,-75622821,39738492
3167,CENTERVILLE RD & VERMONT AVE,"(39.74347300000005, -75.62358099999994)",2535,CNVE,0,0,"4, 18",,-75623581,39743473
3168,CONCORD PK & OP ROCKY RUN PKWY,"(39.81769300000008, -75.54842499999995)",866,CNWD,0,0,2,,-75548425,39817693
3169,CONCORD PK & SEASONS,"(39.80641200000008, -75.54869099999996)",863,CNWI,0,1,"2, 35",,-75548691,39806412
3170,CONCORD PK & OP ZENECA BLDG,"(39.78907400000003, -75.54621399999996)",855,CNZE,0,0,"2, 35",,-75546214,39789074
3171,DE RT 18/404 EAST AT COVERDALE RD,"(38.71011800000008, -75.53209399999997)",2969,CO18,0,0,212,,-75532094,38710118
3172,CONCORD MALL & OP BOSCOVS,"(39.82476200000008, -75.54408299999994)",3063,COBO,0,0,61,,-75544083,39824762
3173,COLLEGE RD & COLLEGE PK DR,"(39.177865000000054, -75.55176299999994)",2861,COCL,0,0,112,,-75551763,39177865
3174,M L KING BLVD & COURTSIDE APTS,"(39.157778000000064, -75.51440299999996)",571,COCO,1,1,"107, 301",,-75514403,39157778
3175,COLLEGE RD & OP COLLEGE PK DR,"(39.17736800000006, -75.55209899999994)",2860,COCP,0,0,112,,-75552099,39177368
3176,CORPORATE KIDS CARE @ BLUE HEN CORP,"(39.15527000000003, -75.50274499999995)",3282,COKC,0,0,107,,-75502745,39155270
3177,CORPORATE BLVD & DEPT OF LABOR,"(39.61631500000004, -75.74973799999998)",2610,COLA,0,1,46,,-75749738,39616315
3178,CORPORATE BLVD & OP DEPT OF LABOR,"(39.61642000000006, -75.74972399999996)",2609,COLB,0,1,46,,-75749724,39616420
3179,CORPORATE BLVD @ LAKE DR,"(39.61674500000004, -75.75348999999994)",3326,COLW,0,0,46,,-75753490,39616745
3180,COMMERCE WAY & NORTH ST/DE 15,"(39.15171900000007, -75.55045699999994)",2903,CONO,0,0,102,,-75550457,39151719
